title,web_url,description,category
Mapa dels districtes,https://opendata.l-h.cat/Urbanisme-i-infraestructures/Mapa-dels-districtes/wcvs-xtts,Mapa de la delimitació dels districtes de L'Hospitalet de Llobregat,Urbanisme i infraestructures
Eleccions al Parlament Europeu maig 2019 (participació),https://opendata.l-h.cat/Sector-públic/Eleccions-al-Parlament-Europeu-maig-2019-participa/5c6v-p343,Dades de participació a les eleccions europees de maig de 2019.,Sector públic
Eleccions Generals desembre 2015 (participació),https://opendata.l-h.cat/Sector-públic/Eleccions-Generals-desembre-2015-participació-/gv35-udzu,Dades de participació a les eleccions generals de desembre de 2015.,Sector públic
Divisions territorials - Seccions censals,https://opendata.l-h.cat/Urbanisme-i-infraestructures/Divisions-territorials-Seccions-censals/jeih-52jn,Delimitació de les seccions censals de L'Hospitalet de Llobregat,Urbanisme i infraestructures
Baròmetre municipal de l'any 2021,https://opendata.l-h.cat/Sector-públic/Baròmetre-municipal-de-l-any-2021/k4j7-42rc,Baròmetre municipal de l'any 2021,Sector públic
Divisions territorials - Districtes,https://opendata.l-h.cat/Urbanisme-i-infraestructures/Divisions-territorials-Districtes/xapm-8v8y,Delimitació dels districtes de L'Hospitalet de Llobregat,Urbanisme i infraestructures
Eleccions Generals abril 2019 (participació),https://opendata.l-h.cat/Sector-públic/Eleccions-Generals-abril-2019-participació-/2r7q-xyyc,Dades de participació de les eleccions generals d'abril de 2019.,Sector públic
Mapa de les seccions censals,https://opendata.l-h.cat/Urbanisme-i-infraestructures/Mapa-de-les-seccions-censals/k3mk-jgrg,Mapa amb la delimitació de les seccions censals de L'Hospitalet de Llobregat,Urbanisme i infraestructures
mapa21,https://opendata.l-h.cat/dataset/mapa21/b4ye-va7e,-,-
Divisions territorials - Àrees Bàsiques de Salut,https://opendata.l-h.cat/Salut/Divisions-territorials-Àrees-Bàsiques-de-Salut/a7xh-cy3r,Àrees Bàsiques de Salut de L'Hospitalet de Llobregat.,Salut
Divisions territorials - Zones educatives,https://opendata.l-h.cat/Sector-públic/Divisions-territorials-Zones-educatives/9jxc-7ezv,Zones educatives de la ciutat,Sector públic
Mapa de les zones educatives,https://opendata.l-h.cat/Sector-públic/Mapa-de-les-zones-educatives/azyd-jtd9,Zones educatives de la ciutat,Sector públic
Divisions territorials - Codis postals,https://opendata.l-h.cat/Urbanisme-i-infraestructures/Divisions-territorials-Codis-postals/q3wg-7n6i,Delimitació dels codis postals a L'Hospitalet de Llobregat,Urbanisme i infraestructures
